Club ID,Date,Start,Finish,Team,Facility,Type,Opponent,Note,N/A,For,Against,DB ID,Ofcl,Write Up
,12/19/2021,3:45 PM,5:00 PM,>Boys>Boys 8th Grade Division 3>CYA B8-3 Carr,South Lakes HS Right,Game,>Boys>Boys 8th Grade Division 3>Reston B8-3 Legler,,,46,27,7021870,,
7025469,12/19/2021,4:00 PM,5:15 PM,>Boys>Boys 5th grade Division 2>Lee District B5-2 Diffenbach,Mary Ellen Henderson MS,Game,>Boys>Boys 5th grade Division 2>Falls Church B5-2 Greiner,,,39,32,7026563,,
,12/19/2021,4:15 PM,5:30 PM,>Boys>Boys 8th Grade Division 1>McLean B8-1 Jackson,McLean HS-Main,Game,>Boys>Boys 8th Grade Division 1>CYA B8-1 Jones,,,,,7021447,,
,12/19/2021,4:15 PM,5:30 PM,>Boys>Boys 6th Grade Division 1>McLean B6- Borelli,McLean HS-Aux,Game,>Boys>Boys 6th Grade Division 2>BRYC B6-2 Thanos,,,55,41,7023974,,
,12/19/2021,4:45 PM,6:00 PM,>Girls>Girls 8th Grade Division 1>CYA G8-1 Brault,West Springfield-Main,Game,>Girls>Girls 8th Grade Division 1>Arlington G8-1 Eisenberg,,,35,31,7023067,,
,12/19/2021,5:00 PM,6:15 PM,>Girls>Girls 8th Grade Division 1>Fort Hunt G8-1 Loving,Mount Vernon HS #1,Game,>Girls>Girls 8th Grade Division 1>Vienna G8-1 Trotter,,,35,36,7023069,,OT
,12/19/2021,5:00 PM,6:15 PM,>Girls>Girls 7th Grade Division 2>Springfield G7-2 Allen,South Lakes HS Right,Game,>Girls>Girls 7th Grade Division 2>Reston G7-2 Eckhardt,Lost Hayfield 12/19,,18,29,7026723,,
,12/19/2021,5:00 PM,6:15 PM,>Boys>Boys 7th Grade Division 2>Fort Hunt B7-2 Zippel,South County MS - Main,Game,>Boys>Boys 7th Grade Division 2>Gum Springs B7-2 Sanders,,,36,49,7022174,, entered by cc  
7025468,12/19/2021,5:30 PM,6:45 PM,>Boys>Boys 5th grade Division 2>McLean B5-2 Stephenson,McLean HS-Aux,Game,>Boys>Boys 5th grade Division 2>Burke B5-2 Howard,,,40,35,7026575,,
,12/19/2021,5:30 PM,6:45 PM,>Boys>Boys 8th Grade Division 2 >FPYC B8-2 Malesky,McLean HS-Main,Game,>Boys>Boys 8th Grade Division 2 >McLean B8-2 Riggins,,,52,46,7021525,,
,12/19/2021,6:15 PM,7:30 PM,>Girls>Girls 7th Grade Division 1>Fort Hunt G7-1 Garey,Mount Vernon HS #1,Game,>Girls>Girls 7th Grade Division 1>Arlington G7-1 Lomas,Lost Hayfield 12/19,,21,34,7026671,," Good, competitive game. Coach Garey's group plays strong defense and battles hard all game long.  "
,12/19/2021,6:45 PM,8:00 PM,>Girls>Girls 6th Grade Division 1>McLean G6-1 Mcnicoll,McLean HS-Aux,Game,>Girls>Girls 6th Grade Division 1>CYA G6-1  Walker,,,15,50,7026755,,
7023123,12/19/2021,6:45 PM,8:00 PM,>Girls>Girls 8th Grade Division 2>McLean G8-2 Hueber,McLean HS-Main,Game,>Girls>Girls 8th Grade Division 2>Reston G8-2 Zeberlein,,,38,15,7024362,, 
,01/08/2022,9:00 AM,10:15 AM,>Boys>Boys 5th grade Division 1>Vienna B5-1 Locey,Liberty MS-#1,Game,>Boys>Boys 5th grade Division 1>Burke B5-1 Raybon,,,34,17,7024123,,
,01/08/2022,9:00 AM,10:15 AM,>Boys>Boys 5th grade Division 1>Reston B5-1 Laureano,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 1>Fort Hunt B5-1 Casey,,,35,21,7024124,,
,01/08/2022,9:00 AM,10:15 AM,>Boys>Boys 5th grade Division 1>McLean B5-1 Tallent,Jackson MS-Front gym,Game,>Boys>Boys 5th grade Division 1>Great Falls B5-1 Clarke,,,29,21,7024122,,
,01/08/2022,10:15 AM,11:30 AM,>Girls>Girls 5th grade Division 1>Mt. Vernon G5-1 Duckett,Jackson MS-Front gym,Game,>Girls>Girls 5th grade Division 1>McLean G5-1 Hazzan,,,8,41,7024213,,
,01/08/2022,10:15 AM,11:30 AM,>Boys>Boys 5th grade Division 2>SYA B5- Chase,Liberty MS-#1,Game,>Boys>Boys 5th grade Division 2>Vienna B5-2 Davis,,,29,31,7024125,,
7025548,01/08/2022,10:15 AM,11:30 AM,>Boys>Boys 5th grade Division 2>South County 5-2 Arora,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 2>CYA B5-2 Batta,,,17,19,7026585,,
7025546,01/08/2022,11:30 AM,12:45 PM,>Boys>Boys 5th grade Division 2>Turpike B5-2 Ours,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 2>Burke B5-2 Howard,,,44,20,7026591,,
7025544,01/08/2022,11:30 AM,12:45 PM,>Boys>Boys 5th grade Division 1>BRYC B5- Mitchell,Liberty MS-#1,Game,>Boys>Boys 5th grade Division 1>CYA B5-1 Lee,,,49,33,7026513,,
,01/08/2022,11:30 AM,12:45 PM,>Girls>Girls 6th Grade Division 2>Burke G6-2 Igl,Jackson MS-Front gym,Game,>Girls>Girls 6th Grade Division 2>McLean G6-2 Gupta,,,26,8,7026819,,
7025547,01/08/2022,12:45 PM,2:00 PM,>Boys>Boys 5th grade Division 2>Lee District B5-2 Diffenbach,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 2>FPYC B5-2 Ragan,,,45,21,7026567,,
,01/08/2022,12:45 PM,2:00 PM,>Girls>Girls 5th grade Division 1>Vienna G5-1 Brooks,Jackson MS-Front gym,Game,>Girls>Girls 5th grade Division 1>Great Falls G5-1 Lockheed,,,12,18,7024215,,
7025545,01/08/2022,12:45 PM,2:00 PM,>Boys>Boys 5th grade Division 2>Gum Springs B5-2 Cordisco,Liberty MS-#1,Game,>Boys>Boys 5th grade Division 2>Great Falls B5-2 Wilson,,,26,31,7026561,, Great game...Great Falls Wins 31 to 26 
,01/08/2022,2:00 PM,8:00 PM,TBD,Lake Braddock 4 far side,no use,,no use ,,,,7023113,,
,01/08/2022,2:00 PM,3:15 PM,>Boys>Boys 6th Grade Division 2>Turnpike B6-2 Taylor,Jackson MS rear gym,Game,>Boys>Boys 6th Grade Division 2>CYA B6-2 Hackney,,,44,23,7024033,,
,01/08/2022,2:00 PM,3:15 PM,>Girls>Girls 6th Grade Division 2>BRYC G6-2 Shin,Liberty MS-#1,Game,>Girls>Girls 6th Grade Division 2>SYA G6-2 Smith,,,32,17,7026820,,
,01/08/2022,2:00 PM,3:15 PM,>Girls>Girls 5th grade Division 1>Arlington G5-1 Sedor,Jackson MS-Front gym,Game,>Girls>Girls 5th grade Division 1>CYA G5-1 Nichols,,,42,9,7024214,,
,01/08/2022,3:15 PM,4:30 PM,>Boys>Boys 7th Grade Division 2>Gum Springs B7-2 Sanders,Jefferson HS-#1,Game,>Boys>Boys 7th Grade Division 2>Reston B7-2 Love,,,47,48,7022238,,
,01/08/2022,3:15 PM,4:30 PM,>Boys>Boys 6th Grade Division 2>CYA B6- Goodman,Liberty MS-#1,Game,>Boys>Boys 6th Grade Division 2>BRYC B6-2 Thanos,,,29,23,7054128,,
,01/08/2022,3:15 PM,4:30 PM,>Boys>Boys 6th Grade Division 1>Burke B6-1 Raybon,Jackson MS-Front gym,Game,>Boys>Boys 6th Grade Division 1>Arlington B6-1 Jones,,,32,46,7023827,,
,01/08/2022,3:30 PM,4:45 PM,>Boys>Boys 8th Grade Division 2 >McLean B8-2 Riggins,Annandale HS-#1,Game,>Boys>Boys 8th Grade Division 2 >FPYC B8-2 Malesky,,,54,27,7021571,,
,01/08/2022,3:30 PM,4:45 PM,>Boys>Boys 6th Grade Division 1>Great Falls B6-1 Klein,Annandale HS-#2,Game,>Boys>Boys 6th Grade Division 1>Reston  B6-1 Douad,,,40,42,7023828,,
,01/08/2022,4:00 PM,5:15 PM,>Boys>Boys 8th Grade Division 3>Lee-Mt. Vernon B8-3 Stewart,Jefferson HS-#2,Game,>Boys>Boys 8th Grade Division 3>Herndon B8-3 Hargadon,,,37,33,7021913,,
,01/08/2022,4:30 PM,5:45 PM,>Boys>Boys 6th Grade Division 1>Fort Hunt B6-1 Estenson,Jackson MS-Front gym,Game,>Boys>Boys 6th Grade Division 1>McLean B6- Borelli,,,37,36,7024015,,
,01/08/2022,4:30 PM,5:45 PM,>Boys>Boys 8th Grade Division 3>Mt. Vernon B8-2 Woodhall,Jefferson HS-#1,Game,>Boys>Boys 8th Grade Division 3>Great Falls B8-3 Britt,,,49,37,7021915,,
,01/08/2022,4:45 PM,6:00 PM,>Boys>Boys 6th Grade Division 2>Fort Hunt B6-2 Loving,Annandale HS-#2,Game,>Boys>Boys 6th Grade Division 2>SYA B6- Sorg,,,21,34,7023830,,
,01/08/2022,4:45 PM,6:00 PM,>Boys>Boys 8th Grade Division 2 >Reston B8-2 Lansdowne,Annandale HS-#1,Game,>Boys>Boys 8th Grade Division 2 >Fort Hunt B8-2 Forti,,,59,58,7021573,,
,01/08/2022,5:15 PM,6:30 PM,>Boys>Boys 8th Grade Division 3>Annandale B8-3 Juan,Jefferson HS-#2,Game,>Boys>Boys 8th Grade Division 3>Turnpike B8-3 Ours,,,37,7,7021912,,
,01/08/2022,5:45 PM,7:00 PM,>Girls>Girls 7th Grade Division 1>CYA G7-1 Dowling,Jefferson HS-#1,Game,>Girls>Girls 7th Grade Division 1>McLean G7- Kim,,,31,23,7026729,,
,01/08/2022,6:00 PM,7:15 PM,>Girls>Girls 7th Grade Division 1>Great Falls G7-1 Rolph,Annandale HS-#1,Game,>Girls>Girls 7th Grade Division 1>Arlington G7-1 Lomas,,,7,40,7026702,,
,01/08/2022,6:00 PM,7:15 PM,>Boys>Boys 8th Grade Division 2 >Burke B8-2 Mitchell,Annandale HS-#2,Game,>Boys>Boys 8th Grade Division 2 >Vienna B8-2 Choi,,,30,38,7021570,,
,01/08/2022,6:30 PM,7:45 PM,>Boys>Boys 8th Grade Division 3>Reston B8-3 Legler,Jefferson HS-#2,Game,>Boys>Boys 8th Grade Division 3>CYA B8-3 Carr,,,16,49,7021911,,
,01/08/2022,7:00 PM,8:15 PM,>Girls>Girls 7th Grade Division 2>Reston G7-2 Eckhardt,Jefferson HS-#1,Game,>Girls>Girls 7th Grade Division 2>Springfield G7-2 Allen,,,22,9,7026730,,
,01/08/2022,7:15 PM,8:30 PM,>Girls>Girls 8th Grade Division 1>Vienna G8-1 Trotter,Annandale HS-#1,Game,>Girls>Girls 8th Grade Division 1>Burke G8-1 Coutinho,,,30,48,7023110,,
,01/08/2022,7:15 PM,8:30 PM,>Boys>Boys 8th Grade Division 3>SYA B8-2 Vickers,Annandale HS-#2,Game,>Boys>Boys 8th Grade Division 3>Burke B8- 3 Buttrey,,,45,50,7021914,,
,01/09/2022,12:00 PM,1:15 PM,>Boys>Boys 7th Grade Division 1>BRYC B7-1 Lee,Edison HS - Main,Game,>Boys>Boys 7th Grade Division 1>CYA B7-1 Rosenblatt,,,39,42,7021705,,
7023150,01/09/2022,12:00 PM,1:15 PM,>Girls>Girls 8th Grade Division 2>SYA G8-2 Langford,Annandale HS-#2,Game,>Girls>Girls 8th Grade Division 2>Vienna G8-2 Amouri,,,42,14,7024379,,
,01/09/2022,12:15 PM,1:30 PM,>Boys>Boys 7th Grade Division 2>Falls Church B7-2 Greiner,Mary Ellen Henderson MS,Game,>Boys>Boys 7th Grade Division 2>Turnpike B7-2 Syron,,,54,28,7022239,,
,01/09/2022,1:00 PM,2:15 PM,>Girls>Girls 6th Grade Division 2>SYA G6-2 Smith,Jackson MS-Front gym,Game,>Girls>Girls 6th Grade Division 2>FPYC G6-2 Varner,,,15,16,7026825,,
7025510,01/09/2022,1:00 PM,2:15 PM,>Boys>Boys 5th grade Division 2>Vienna B5-2 Davis,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 2>Burke B5-2 Howard,fb,,40,18,7026537,,
,01/09/2022,1:00 PM,2:15 PM,>Girls>Girls 7th Grade Division 1>Arlington G7-1 Lomas,West Springfield-Main,Game,>Girls>Girls 7th Grade Division 1>Fort Hunt G7-1 Garey,,,48,37,7026707,," Good, competitive, hard fought game.   "
,01/09/2022,1:00 PM,2:15 PM,>Girls>Girls 6th Grade Division 1>Great Falls G6-1 Wilson,West Springfield-#2,Game,>Girls>Girls 6th Grade Division 1>Burke G6-1 Jones,,,8,6,7026781,,
,01/09/2022,1:15 PM,2:30 PM,>Boys>Boys 8th Grade Division 1>Herndon B8-1 Jones,Annandale HS-#1,Game,>Boys>Boys 8th Grade Division 1>McLean B8-1 Jackson,,,,,7021493,,
,01/09/2022,1:15 PM,2:30 PM,>Girls>Girls 5th grade Division 1>Mt. Vernon G5-1 Duckett,Edison HS - Aux,Game,>Girls>Girls 5th grade Division 1>Fort Hunt G5-1 Harris,,,6,7,7024222,,
,01/09/2022,1:15 PM,2:30 PM,>Boys>Boys 7th Grade Division 1>Reston B7-1 Byrnes,South Lakes HS Right,Game,>Boys>Boys 7th Grade Division 1>McLean B7-1 Concepcion,,,55,36,7021709,,
,01/09/2022,1:15 PM,2:30 PM,>Boys>Boys 7th Grade Division 1>South County B7-1 Miller,Edison HS - Main,Game,>Boys>Boys 7th Grade Division 1>Lee-Mt. Vernon B7-1 Bosley,,,38,49,7021706,,
,01/09/2022,1:15 PM,2:30 PM,>Girls>Girls 8th Grade Division 2>McLean G8-2 Hueber,Annandale HS-#2,Game,>Girls>Girls 8th Grade Division 2>Great Falls G8- Exley,,,20,23,7023071,,
,01/09/2022,1:30 PM,2:45 PM,>Boys>Boys 8th Grade Division 3>Annandale B8-3 Juan,Mary Ellen Henderson MS,Game,>Boys>Boys 8th Grade Division 3>Falls Church B8-  Kusic,,,37,32,7021572,,
,01/09/2022,2:15 PM,3:30 PM,>Girls>Girls 6th Grade Division 2>Burke G6-2 Igl,Jackson MS-Front gym,Game,>Girls>Girls 6th Grade Division 2>BRYC G6-2 Shin,,,12,20,7026826,,
,01/09/2022,2:15 PM,3:30 PM,>Girls>Girls 8th Grade Division 1>Arlington G8-1 Eisenberg,West Springfield-Main,Game,>Girls>Girls 8th Grade Division 1>CYA G8-1 Brault,,,36,23,7023103,,
7025517,01/09/2022,2:15 PM,3:30 PM,>Boys>Boys 5th grade Division 1>BRYC B5- Mitchell,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 1>Great Falls B5-1 Clarke,fb,,43,30,7026510,,
,01/09/2022,2:15 PM,3:30 PM,>Girls>Girls 5th grade Division 1>Vienna G5-1 Brooks,West Springfield-#2,Game,>Girls>Girls 5th grade Division 1>CYA G5-1 Nichols,,,12,14,7024223,,
,01/09/2022,2:30 PM,3:45 PM,>Boys>Boys 6th Grade Division 2>Lee-Mt. Vernon B6-2 Beisner,Edison HS - Aux,Game,>Boys>Boys 6th Grade Division 2>FPYC B6-2 Nickle,,,21,40,7024034,,
,01/09/2022,2:30 PM,3:45 PM,>Girls>Girls 7th Grade Division 1>Great Falls G7-1 Rolph,Annandale HS-#2,Game,>Girls>Girls 7th Grade Division 1>McLean G7- Kim,,,16,31,7026741,,
,01/09/2022,2:30 PM,3:45 PM,>Girls>Girls 7th Grade Division 2>Burke G7-2 Edwards,South Lakes HS left,Game,>Girls>Girls 7th Grade Division 2>Reston G7-2 Eckhardt,,,20,23,7026742,,
,01/09/2022,2:30 PM,3:45 PM,>Boys>Boys 8th Grade Division 1>Burke B8-1 Concepcion,Annandale HS-#1,Game,>Boys>Boys 8th Grade Division 1>Arlington B8-1 Lowen,,,40,60,7021494,,
,01/09/2022,2:30 PM,3:45 PM,>Boys>Boys 5th grade Division 1>Reston B5-1 Laureano,South Lakes HS Right,Game,>Boys>Boys 5th grade Division 1>McLean B5-1 Tallent,,,42,28,7024115,,
,01/09/2022,2:30 PM,3:45 PM,>Boys>Boys 7th Grade Division 1>Vienna B7-1 Stolburg,Edison HS - Main,Game,>Boys>Boys 7th Grade Division 1>Great Falls B7-1 Goldburg,,,49,14,7021707,,
,01/09/2022,2:45 PM,4:00 PM,>Boys>Boys 6th Grade Division 2>South County B6-2 Brown,Mary Ellen Henderson MS,Game,>Boys>Boys 6th Grade Division 2>Falls Church B6-2 Papadopou,,,33,30,7024035,, Overtime 
,01/09/2022,3:00 PM,4:15 PM,>Boys>Boys 7th Grade Division 2>CYA B7-2 Atkinson,South County MS - Main,Game,>Boys>Boys 7th Grade Division 2>Vienna B7-2 Desenti,,,52,58,7022237,Curtis Smith (Ref) NA,
,01/09/2022,3:30 PM,4:45 PM,>Girls>Girls 6th Grade Division 1>Fort Hunt G6-1 Langone,West Springfield-#2,Game,>Girls>Girls 6th Grade Division 1>CYA G6-1  Walker,,,17,33,7026783,,
,01/09/2022,3:30 PM,4:45 PM,>Boys>Boys 5th grade Division 1>Arlington B5-1 Sadaka,Jackson MS-Front gym,Game,>Boys>Boys 5th grade Division 1>CYA B5-1 Lee,,,37,14,7024116,,
,01/09/2022,3:30 PM,4:45 PM,>Girls>Girls 7th Grade Division 1>SYA G7-1 Andersen,West Springfield-Main,Game,>Girls>Girls 7th Grade Division 1>Lee District G7-1  Tickner,,,53,17,7026708,,
7025479,01/09/2022,3:30 PM,4:45 PM,>Boys>Boys 5th grade Division 2>CYA B5-2 Batta,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 2>Great Falls B5-2 Wilson,,,16,28,7026535,,
,01/09/2022,3:45 PM,5:00 PM,>Boys>Boys 8th Grade Division 1>Great Falls B8-1 Brown,Annandale HS-#1,Game,>Boys>Boys 8th Grade Division 1>Springfield B8-1 Alvarez,,,60,39,7021495,,
,01/09/2022,3:45 PM,5:00 PM,>Boys>Boys 7th Grade Division 1>SYA  B7-1 Pilon,Edison HS - Main,Game,>Boys>Boys 7th Grade Division 1>Lee District CC B7-1 Love,,,26,41,7021708,,
,01/09/2022,3:45 PM,5:00 PM,>Boys>Boys 6th Grade Division 2>Reston  B6-2 Schlesinger,South Lakes HS Right,Game,>Boys>Boys 6th Grade Division 2>Fort Belvoir B6-2 Sherm,,,30,13,7024037,,
,01/09/2022,3:45 PM,5:00 PM,>Boys>Boys 6th Grade Division 2>SYA B6- Sorg,Edison HS - Aux,Game,>Boys>Boys 6th Grade Division 2>Turnpike B6-2 Taylor,,,16,47,7023826,,
,01/09/2022,3:45 PM,5:00 PM,>Boys>Boys 6th Grade Division 1>Reston  B6-1 Douad,South Lakes HS left,Game,>Boys>Boys 6th Grade Division 1>McLean B6-1 Leggett,,,28,39,7023824,,
7025550,01/09/2022,4:00 PM,5:15 PM,>Boys>Boys 5th grade Division 2>McLean B5-2 Stephenson,Mary Ellen Henderson MS,Game,>Boys>Boys 5th grade Division 2>Falls Church B5-2 Greiner,,,34,33,7026579,,
,01/09/2022,4:15 PM,5:30 PM,>Boys>Boys 6th Grade Division 2>Fort Hunt B6-2 Loving,South County MS - Main,Game,>Boys>Boys 6th Grade Division 2>CYA B6- Goodman,,,30,42,7054129,,
,01/09/2022,4:45 PM,6:00 PM,>Boys>Boys 5th grade Division 2>SYA B5- Chase,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 2>Turpike B5-2 Ours,,,29,21,7024117,,
,01/09/2022,4:45 PM,6:00 PM,>Boys>Boys 6th Grade Division 2>BRYC B6-2 Thanos,West Springfield-Main,Game,>Boys>Boys 6th Grade Division 2>Vienna B6-2 Leone,,,27,52,7024031,,
7025525,01/09/2022,4:45 PM,6:00 PM,>Boys>Boys 5th grade Division 2>FPYC B5-2 Ragan,Jackson MS-Front gym,Game,>Boys>Boys 5th grade Division 2>South County 5-2 Arora,,,7,36,7026547,,
,01/09/2022,5:00 PM,6:15 PM,>Boys>Boys 6th Grade Division 2>Herndon B6-2 Mathews,South Lakes HS Right,Game,>Boys>Boys 6th Grade Division 2>Great Falls B6-2 Conver,,,14,45,7024032,,
,01/09/2022,6:00 PM,7:15 PM,>Boys>Boys 5th grade Division 1>Burke B5-1 Raybon,Jackson MS-Front gym,Game,>Boys>Boys 5th grade Division 1>Lee-Mt. Vernon B5- Davis,,,36,48,7053306,,
,01/10/2022,6:30 PM,7:45 PM,>Boys>Boys 8th Grade Division 1>CYA B8-1 Jones,Jackson MS-Front gym,Game,>Boys>Boys 8th Grade Division 1>Herndon B8-1 Jones,,,53,34,7021458,,
,01/10/2022,6:45 PM,8:00 PM,>Boys>Boys 8th Grade Division 1>Arlington B8-1 Lowen,Bryant Center,Game,>Boys>Boys 8th Grade Division 1>Vienna B8-1 Marsden,,,64,54,7021457,,
,01/10/2022,7:00 PM,8:15 PM,>Girls>Girls 6th Grade Division 1>CYA G6-1  Walker,Jackson MS rear gym,Game,>Girls>Girls 6th Grade Division 1>Great Falls G6-1 Wilson,,,38,35,7026750,,
,01/10/2022,7:45 PM,9:00 PM,>Boys>Boys 8th Grade Division 1>BRYC B8-1 Gonzalez,Jackson MS-Front gym,Game,>Boys>Boys 8th Grade Division 1>Springfield B8-1 Alvarez,,,82,63,7021459,,
,01/10/2022,8:00 PM,9:15 PM,>Boys>Boys 8th Grade Division 1>Burke B8-1 Concepcion,Bryant Center,Game,>Boys>Boys 8th Grade Division 1>Lee District B8-1 Diffenbach,,,33,65,7021460,,
,01/10/2022,8:15 PM,9:30 PM,>Girls>Girls 7th Grade Division 1>Great Falls G7-1 Rolph,Jackson MS rear gym,Game,>Girls>Girls 7th Grade Division 1>CYA G7-1 Dowling,fr 12-16,,13,40,7026665,,
,01/11/2022,6:15 PM,7:30 PM,>Boys>Boys 8th Grade Division 2 >Burke B8-2 Mitchell,Jackson MS-Front gym,Game,>Boys>Boys 8th Grade Division 2 >SYA B8-2 Hill,,,35,59,7021529,,
,01/11/2022,6:15 PM,7:30 PM,>Boys>Boys 7th Grade Division 2>Fort Hunt B7-2 Zippel,Jackson MS rear gym,Game,>Boys>Boys 7th Grade Division 2>Lee-Mt. Vernon B7-2 Henderson,from dec,,53,24,7022157,, No scoreboard available on-site. The scoring staff was forced to use a phone app. 
,01/11/2022,6:45 PM,8:00 PM,>Boys>Boys 8th Grade Division 2 >Fort Hunt B8-2 Forti,Bryant Center,Game,>Boys>Boys 8th Grade Division 2 >McLean B8-2 Riggins,,,45,40,7021530,,
,01/11/2022,7:30 PM,8:45 PM,>Boys>Boys 7th Grade Division 2>Vienna B7-2 Desenti,Jackson MS rear gym,Game,>Boys>Boys 7th Grade Division 2>Turnpike B7-2 Syron,from dec ,,48,27,7022161,,
,01/11/2022,7:30 PM,8:45 PM,>Boys>Boys 8th Grade Division 3>Falls Church B8-  Kusic,Jackson MS-Front gym,Game,>Boys>Boys 8th Grade Division 3>Springfield B8-  Alvarez,,,67,16,7021531,,
,01/11/2022,8:00 PM,9:15 PM,>Boys>Boys 8th Grade Division 1>BRYC B8-1 Gonzalez,Bryant Center,Game,>Boys>Boys 8th Grade Division 1>McLean B8-1 Jackson,,,62,53,7021532,,
,01/11/2022,8:45 PM,10:00 PM,>Boys>Boys 8th Grade Division 2 >FPYC B8-2 Malesky,Jackson MS-Front gym,Game,>Boys>Boys 8th Grade Division 2 >Vienna B8-2 Choi,,,37,50,7021533,,
,01/12/2022,6:15 PM,7:30 PM,>Boys>Boys 7th Grade Division 1>Reston B7-1 Byrnes,Jackson MS-Front gym,Game,>Boys>Boys 7th Grade Division 1>CYA B7-1 Rosenblatt,,,49,14,7021675,,
,01/12/2022,6:45 PM,8:00 PM,>Boys>Boys 7th Grade Division 1>Lee-Mt. Vernon B7-1 Bosley,Bryant Center,Game,>Boys>Boys 7th Grade Division 1>Lee District CC B7-1 Love,,,44,54,7021671,,
,01/12/2022,7:00 PM,8:15 PM,>Boys>Boys 8th Grade Division 3>Mt. Vernon B8-2 Woodhall,Jackson MS rear gym,Game,>Boys>Boys 8th Grade Division 3>Turnpike B8-3 Ours,from dec ,,47,52,7021854,,
,01/12/2022,7:30 PM,8:45 PM,>Boys>Boys 7th Grade Division 2>BRYC B7-2 Sharma,Jackson MS-Front gym,Game,>Boys>Boys 7th Grade Division 2>Burke B7-1 DiSilvestro,,,42,29,7021674,,
,01/12/2022,8:00 PM,9:15 PM,>Boys>Boys 7th Grade Division 1>SYA  B7-1 Pilon,Bryant Center,Game,>Boys>Boys 7th Grade Division 1>BRYC B7-1 Lee,,,42,66,7021672,,
,01/12/2022,8:15 PM,9:30 PM,>Boys>Boys 8th Grade Division 3>Reston B8-3 Legler,Jackson MS rear gym,Game,>Boys>Boys 8th Grade Division 3>Lee-Mt. Vernon B8-3 Stewart,lost Bryant,,39,44,7021851,,
,01/12/2022,8:45 PM,10:00 PM,>Boys>Boys 7th Grade Division 1>McLean B7-1 Concepcion,Jackson MS-Front gym,Game,>Boys>Boys 7th Grade Division 1>Great Falls B7-1 Goldburg,,,53,21,7021673,,
,01/13/2022,6:45 PM,8:00 PM,>Girls>Girls 8th Grade Division 1>CYA G8-1 Brault,Bryant Center,Game,>Girls>Girls 8th Grade Division 1>Mt. Vernon G8-1 Marshall,,,21,59,7023079,,
,01/13/2022,8:00 PM,9:15 PM,>Girls>Girls 8th Grade Division 1>Fort Hunt G8-1 Loving,Bryant Center,Game,>Girls>Girls 8th Grade Division 1>McLean G8-1 Megas,,,42,26,7023081,,
,01/15/2022,9:00 AM,10:15 AM,>Boys>Boys 6th Grade Division 1>Fort Hunt B6-1 Estenson,Bryant Center,Game,>Boys>Boys 6th Grade Division 1>Burke B6-1 Raybon,,,31,36,7023783,,
,01/15/2022,9:00 AM,10:15 AM,>Boys>Boys 6th Grade Division 2>BRYC B6-2 Thanos,Jackson MS-Front gym,Game,>Boys>Boys 6th Grade Division 2>Lee-Mt. Vernon B6-2 Beisner,,,38,41,7023981,,
7025513,01/15/2022,9:15 AM,10:30 AM,>Boys>Boys 5th grade Division 2>Great Falls B5-2 Wilson,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 2>Turpike B5-2 Ours,,,16,18,7026552,,
,01/15/2022,9:15 AM,10:30 AM,>Boys>Boys 8th Grade Division 1>Springfield B8-1 Alvarez,Dorothy Hamm (Woodlawn),Game,>Boys>Boys 8th Grade Division 1>Arlington B8-1 Lowen,,,49,79,7021463,,
,01/15/2022,9:15 AM,10:30 AM,>Girls>Girls 5th grade Division 1>McLean G5-1 Hazzan,Liberty MS-#1,Game,>Girls>Girls 5th grade Division 1>CYA G5-1 Nichols,,,24,14,7024196,,
,01/15/2022,10:15 AM,11:30 AM,>Boys>Boys 6th Grade Division 2>Fort Belvoir B6-2 Sherm,Bryant Center,Game,>Boys>Boys 6th Grade Division 2>FPYC B6-2 Nickle,,,8,48,7023978,,
,01/15/2022,10:15 AM,11:30 AM,>Boys>Boys 6th Grade Division 1>Great Falls B6-1 Klein,Jackson MS-Front gym,Game,>Boys>Boys 6th Grade Division 1>McLean B6- Borelli,,,48,38,7023979,,
7025509,01/15/2022,10:30 AM,11:45 AM,>Boys>Boys 5th grade Division 2>Lee District B5-2 Diffenbach,Liberty MS-#1,Game,>Boys>Boys 5th grade Division 2>McLean B5-2 Stephenson,,,39,36,7026564,,
7025515,01/15/2022,10:30 AM,11:45 AM,>Boys>Boys 5th grade Division 2>Falls Church B5-2 Greiner,Jackson MS rear gym,Game,>Boys>Boys 5th grade Division 2>CYA B5-2 Batta,,,19,24,7026530,,
,01/15/2022,10:30 AM,11:45 AM,>Boys>Boys 7th Grade Division 1>Arlington B7-1 McLean,Dorothy Hamm (Woodlawn),Game,>Boys>Boys 7th Grade Division 1>SYA  B7-1 Pilon,,,54,24,7022184,,
,01/15/2022,11:30 AM,12:45 PM,>Boys>Boys 5th grade Division 2>SYA B5- Chase,Bryant Center,Game,>Boys>Boys 5th grade Division 2>FPYC B5-2 Ragan,,,27,18,7024086,,
